Away Team,Away Record,Away Score,Home Team,Home Record,Home Score,Quarter
(#7) Lake Braddock,7-3,30,(#13) South County,7-3,21,4th Quarter
(#8) James Madison,6-4,28,(#11) Centreville,8-1,28,4th Quarter
(#5) Woodbridge,9-1,28,(#1) Colonial Forge,9-1,21,3rd Quarter
(#20) Fairfax,5-5,7,(#10) West Springfield,8-2,28,Final
(#4) North Stafford,7-3,21,(#12) Battlefield,9-1,6,4th Quarter
(#19) South Lakes,5-5,31,(#9) Westfield,7-3,21,4th Quarter
(#6) Manchester,9-1,13,(#3) Thomas Dale,,21,4th Quarter
(#16) L.C. Bird,6-4,0,(#2) Oscar Smith,,50,Final
